Location,Count,Time,Weekday
SquashBusters - 4th Floor,16,19:57:19,Friday
Marino Center - Studio A,6,19:57:19,Friday
Marino Center - Studio B,7,19:57:19,Friday
Marino Center - 2nd Floor,16,19:57:19,Friday
Marino Center - Gymnasium,33,19:57:19,Friday
Marino Center - 3rd Floor Weight Room,30,19:57:19,Friday
Marino Center - 3rd Floor Select & Cardio,24,19:57:19,Friday
SquashBusters - 4th Floor,16,21:39:41,Friday
Marino Center - Studio A,6,21:39:41,Friday
Marino Center - Studio B,7,21:39:41,Friday
Marino Center - 2nd Floor,16,21:39:41,Friday
Marino Center - Gymnasium,33,21:39:41,Friday
Marino Center - 3rd Floor Weight Room,30,21:39:41,Friday
Marino Center - 3rd Floor Select & Cardio,24,21:39:41,Friday
SquashBusters - 4th Floor,16,22:24:24,Friday
Marino Center - Studio A,6,22:24:24,Friday
Marino Center - Studio B,7,22:24:24,Friday
Marino Center - 2nd Floor,16,22:24:24,Friday
Marino Center - Gymnasium,33,22:24:24,Friday
Marino Center - 3rd Floor Weight Room,30,22:24:24,Friday
Marino Center - 3rd Floor Select & Cardio,24,22:24:24,Friday
SquashBusters - 4th Floor,16,22:45:45,Friday
Marino Center - Studio A,6,22:45:45,Friday
Marino Center - Studio B,7,22:45:45,Friday
Marino Center - 2nd Floor,16,22:45:45,Friday
Marino Center - Gymnasium,33,22:45:45,Friday
Marino Center - 3rd Floor Weight Room,30,22:45:45,Friday
Marino Center - 3rd Floor Select & Cardio,24,22:45:45,Friday
SquashBusters - 4th Floor,16,23:16:37,Friday
Marino Center - Studio A,6,23:16:37,Friday
Marino Center - Studio B,7,23:16:37,Friday
Marino Center - 2nd Floor,16,23:16:37,Friday
Marino Center - Gymnasium,33,23:16:37,Friday
Marino Center - 3rd Floor Weight Room,30,23:16:37,Friday
Marino Center - 3rd Floor Select & Cardio,24,23:16:37,Friday
SquashBusters - 4th Floor,16,23:41:09,Friday
Marino Center - Studio A,6,23:41:09,Friday
Marino Center - Studio B,7,23:41:09,Friday
Marino Center - 2nd Floor,16,23:41:09,Friday
Marino Center - Gymnasium,33,23:41:09,Friday
Marino Center - 3rd Floor Weight Room,30,23:41:09,Friday
Marino Center - 3rd Floor Select & Cardio,24,23:41:09,Friday
SquashBusters - 4th Floor,16,00:13:06,Saturday
Marino Center - Studio A,6,00:13:06,Saturday
Marino Center - Studio B,7,00:13:06,Saturday
Marino Center - 2nd Floor,16,00:13:06,Saturday
Marino Center - Gymnasium,33,00:13:06,Saturday
Marino Center - 3rd Floor Weight Room,30,00:13:06,Saturday
Marino Center - 3rd Floor Select & Cardio,24,00:13:06,Saturday
SquashBusters - 4th Floor,16,00:38:19,Saturday
Marino Center - Studio A,6,00:38:19,Saturday
Marino Center - Studio B,7,00:38:19,Saturday
Marino Center - 2nd Floor,16,00:38:19,Saturday
Marino Center - Gymnasium,33,00:38:19,Saturday
Marino Center - 3rd Floor Weight Room,30,00:38:19,Saturday
Marino Center - 3rd Floor Select & Cardio,24,00:38:19,Saturday
SquashBusters - 4th Floor,16,01:18:12,Saturday
Marino Center - Studio A,6,01:18:12,Saturday
Marino Center - Studio B,7,01:18:12,Saturday
Marino Center - 2nd Floor,16,01:18:12,Saturday
Marino Center - Gymnasium,33,01:18:12,Saturday
Marino Center - 3rd Floor Weight Room,30,01:18:12,Saturday
Marino Center - 3rd Floor Select & Cardio,24,01:18:12,Saturday
SquashBusters - 4th Floor,16,01:43:24,Saturday
Marino Center - Studio A,6,01:43:24,Saturday
Marino Center - Studio B,7,01:43:24,Saturday
Marino Center - 2nd Floor,16,01:43:24,Saturday
Marino Center - Gymnasium,33,01:43:24,Saturday
Marino Center - 3rd Floor Weight Room,30,01:43:24,Saturday
Marino Center - 3rd Floor Select & Cardio,24,01:43:24,Saturday
SquashBusters - 4th Floor,16,02:12:21,Saturday
Marino Center - Studio A,6,02:12:21,Saturday
Marino Center - Studio B,7,02:12:21,Saturday
Marino Center - 2nd Floor,16,02:12:21,Saturday
Marino Center - Gymnasium,33,02:12:21,Saturday
Marino Center - 3rd Floor Weight Room,30,02:12:21,Saturday
Marino Center - 3rd Floor Select & Cardio,24,02:12:21,Saturday
SquashBusters - 4th Floor,16,02:35:27,Saturday
Marino Center - Studio A,6,02:35:27,Saturday
Marino Center - Studio B,7,02:35:27,Saturday
Marino Center - 2nd Floor,16,02:35:27,Saturday
Marino Center - Gymnasium,33,02:35:27,Saturday
Marino Center - 3rd Floor Weight Room,30,02:35:27,Saturday
Marino Center - 3rd Floor Select & Cardio,24,02:35:27,Saturday
SquashBusters - 4th Floor,16,03:16:37,Saturday
Marino Center - Studio A,6,03:16:37,Saturday
Marino Center - Studio B,7,03:16:37,Saturday
Marino Center - 2nd Floor,16,03:16:37,Saturday
Marino Center - Gymnasium,33,03:16:37,Saturday
Marino Center - 3rd Floor Weight Room,30,03:16:37,Saturday
Marino Center - 3rd Floor Select & Cardio,24,03:16:37,Saturday
SquashBusters - 4th Floor,16,03:41:05,Saturday
Marino Center - Studio A,6,03:41:05,Saturday
Marino Center - Studio B,7,03:41:05,Saturday
Marino Center - 2nd Floor,16,03:41:05,Saturday
Marino Center - Gymnasium,33,03:41:05,Saturday
Marino Center - 3rd Floor Weight Room,30,03:41:05,Saturday
Marino Center - 3rd Floor Select & Cardio,24,03:41:05,Saturday
SquashBusters - 4th Floor,16,04:13:19,Saturday
Marino Center - Studio A,6,04:13:19,Saturday
Marino Center - Studio B,7,04:13:19,Saturday
Marino Center - 2nd Floor,16,04:13:19,Saturday
Marino Center - Gymnasium,33,04:13:19,Saturday
Marino Center - 3rd Floor Weight Room,30,04:13:19,Saturday
Marino Center - 3rd Floor Select & Cardio,24,04:13:19,Saturday
SquashBusters - 4th Floor,16,04:35:47,Saturday
Marino Center - Studio A,6,04:35:47,Saturday
Marino Center - Studio B,7,04:35:47,Saturday
Marino Center - 2nd Floor,16,04:35:47,Saturday
Marino Center - Gymnasium,33,04:35:47,Saturday
Marino Center - 3rd Floor Weight Room,30,04:35:47,Saturday
Marino Center - 3rd Floor Select & Cardio,24,04:35:47,Saturday
SquashBusters - 4th Floor,16,05:13:19,Saturday
Marino Center - Studio A,6,05:13:19,Saturday
Marino Center - Studio B,7,05:13:19,Saturday
Marino Center - 2nd Floor,16,05:13:19,Saturday
Marino Center - Gymnasium,33,05:13:19,Saturday
Marino Center - 3rd Floor Weight Room,30,05:13:19,Saturday
Marino Center - 3rd Floor Select & Cardio,24,05:13:19,Saturday
SquashBusters - 4th Floor,16,05:39:27,Saturday
Marino Center - Studio A,6,05:39:27,Saturday
Marino Center - Studio B,7,05:39:27,Saturday
Marino Center - 2nd Floor,16,05:39:27,Saturday
Marino Center - Gymnasium,33,05:39:27,Saturday
Marino Center - 3rd Floor Weight Room,30,05:39:27,Saturday
Marino Center - 3rd Floor Select & Cardio,24,05:39:27,Saturday
SquashBusters - 4th Floor,16,06:10:53,Saturday
Marino Center - Studio A,6,06:10:53,Saturday
Marino Center - Studio B,7,06:10:53,Saturday
Marino Center - 2nd Floor,16,06:10:53,Saturday
Marino Center - Gymnasium,33,06:10:53,Saturday
Marino Center - 3rd Floor Weight Room,30,06:10:53,Saturday
Marino Center - 3rd Floor Select & Cardio,24,06:10:53,Saturday
SquashBusters - 4th Floor,16,06:35:28,Saturday
Marino Center - Studio A,6,06:35:28,Saturday
Marino Center - Studio B,7,06:35:28,Saturday
Marino Center - 2nd Floor,16,06:35:28,Saturday
Marino Center - Gymnasium,33,06:35:28,Saturday
Marino Center - 3rd Floor Weight Room,30,06:35:28,Saturday
Marino Center - 3rd Floor Select & Cardio,24,06:35:28,Saturday
SquashBusters - 4th Floor,16,07:24:40,Saturday
Marino Center - Studio A,6,07:24:40,Saturday
Marino Center - Studio B,7,07:24:40,Saturday
Marino Center - 2nd Floor,16,07:24:40,Saturday
Marino Center - Gymnasium,33,07:24:40,Saturday
Marino Center - 3rd Floor Weight Room,30,07:24:40,Saturday
Marino Center - 3rd Floor Select & Cardio,24,07:24:40,Saturday
SquashBusters - 4th Floor,16,07:56:49,Saturday
Marino Center - Studio A,6,07:56:49,Saturday
Marino Center - Studio B,7,07:56:49,Saturday
Marino Center - 2nd Floor,16,07:56:49,Saturday
Marino Center - Gymnasium,33,07:56:49,Saturday
Marino Center - 3rd Floor Weight Room,30,07:56:49,Saturday
Marino Center - 3rd Floor Select & Cardio,24,07:56:49,Saturday
SquashBusters - 4th Floor,16,08:21:59,Saturday
Marino Center - Studio A,0,08:21:59,Saturday
Marino Center - Studio B,0,08:21:59,Saturday
Marino Center - 2nd Floor,5,08:21:59,Saturday
Marino Center - Gymnasium,1,08:21:59,Saturday
Marino Center - 3rd Floor Weight Room,30,08:21:59,Saturday
Marino Center - 3rd Floor Select & Cardio,24,08:21:59,Saturday
SquashBusters - 4th Floor,16,08:37:41,Saturday
Marino Center - Studio A,1,08:37:41,Saturday
Marino Center - Studio B,0,08:37:41,Saturday
Marino Center - 2nd Floor,14,08:37:41,Saturday
Marino Center - Gymnasium,4,08:37:41,Saturday
Marino Center - 3rd Floor Weight Room,30,08:37:41,Saturday
Marino Center - 3rd Floor Select & Cardio,24,08:37:41,Saturday
SquashBusters - 4th Floor,16,09:11:31,Saturday
Marino Center - Studio A,3,09:11:31,Saturday
Marino Center - Studio B,0,09:11:31,Saturday
Marino Center - 2nd Floor,7,09:11:31,Saturday
Marino Center - Gymnasium,17,09:11:31,Saturday
Marino Center - 3rd Floor Weight Room,30,09:11:31,Saturday
Marino Center - 3rd Floor Select & Cardio,24,09:11:31,Saturday
SquashBusters - 4th Floor,16,09:37:42,Saturday
Marino Center - Studio A,3,09:37:42,Saturday
Marino Center - Studio B,0,09:37:42,Saturday
Marino Center - 2nd Floor,7,09:37:42,Saturday
Marino Center - Gymnasium,17,09:37:42,Saturday
Marino Center - 3rd Floor Weight Room,10,09:37:42,Saturday
Marino Center - 3rd Floor Select & Cardio,7,09:37:42,Saturday
SquashBusters - 4th Floor,16,10:12:55,Saturday
Marino Center - Studio A,2,10:12:55,Saturday
Marino Center - Studio B,1,10:12:55,Saturday
Marino Center - 2nd Floor,9,10:12:55,Saturday
Marino Center - Gymnasium,19,10:12:55,Saturday
Marino Center - 3rd Floor Weight Room,10,10:12:55,Saturday
Marino Center - 3rd Floor Select & Cardio,7,10:12:55,Saturday
SquashBusters - 4th Floor,16,10:36:31,Saturday
Marino Center - Studio A,4,10:36:31,Saturday
Marino Center - Studio B,1,10:36:31,Saturday
Marino Center - 2nd Floor,19,10:36:31,Saturday
Marino Center - Gymnasium,24,10:36:31,Saturday
Marino Center - 3rd Floor Weight Room,10,10:36:31,Saturday
Marino Center - 3rd Floor Select & Cardio,7,10:36:31,Saturday
SquashBusters - 4th Floor,16,11:15:13,Saturday
Marino Center - Studio A,4,11:15:13,Saturday
Marino Center - Studio B,1,11:15:13,Saturday
Marino Center - 2nd Floor,19,11:15:13,Saturday
Marino Center - Gymnasium,24,11:15:13,Saturday
Marino Center - 3rd Floor Weight Room,10,11:15:13,Saturday
Marino Center - 3rd Floor Select & Cardio,7,11:15:13,Saturday
SquashBusters - 4th Floor,16,11:42:44,Saturday
Marino Center - Studio A,5,11:42:44,Saturday
Marino Center - Studio B,2,11:42:44,Saturday
Marino Center - 2nd Floor,15,11:42:44,Saturday
Marino Center - Gymnasium,23,11:42:44,Saturday
Marino Center - 3rd Floor Weight Room,27,11:42:44,Saturday
Marino Center - 3rd Floor Select & Cardio,21,11:42:44,Saturday
SquashBusters - 4th Floor,16,12:10:53,Saturday
Marino Center - Studio A,4,12:10:53,Saturday
Marino Center - Studio B,3,12:10:53,Saturday
Marino Center - 2nd Floor,16,12:10:53,Saturday
Marino Center - Gymnasium,13,12:10:53,Saturday
Marino Center - 3rd Floor Weight Room,27,12:10:53,Saturday
Marino Center - 3rd Floor Select & Cardio,21,12:10:53,Saturday
SquashBusters - 4th Floor,16,12:37:27,Saturday
Marino Center - Studio A,2,12:37:27,Saturday
Marino Center - Studio B,1,12:37:27,Saturday
Marino Center - 2nd Floor,15,12:37:27,Saturday
Marino Center - Gymnasium,12,12:37:27,Saturday
Marino Center - 3rd Floor Weight Room,27,12:37:27,Saturday
Marino Center - 3rd Floor Select & Cardio,21,12:37:27,Saturday
SquashBusters - 4th Floor,16,13:16:53,Saturday
Marino Center - Studio A,3,13:16:53,Saturday
Marino Center - Studio B,1,13:16:53,Saturday
Marino Center - 2nd Floor,15,13:16:53,Saturday
Marino Center - Gymnasium,8,13:16:53,Saturday
Marino Center - 3rd Floor Weight Room,33,13:16:53,Saturday
Marino Center - 3rd Floor Select & Cardio,26,13:16:53,Saturday
SquashBusters - 4th Floor,16,13:42:04,Saturday
Marino Center - Studio A,5,13:42:04,Saturday
Marino Center - Studio B,2,13:42:04,Saturday
Marino Center - 2nd Floor,13,13:42:04,Saturday
Marino Center - Gymnasium,6,13:42:04,Saturday
Marino Center - 3rd Floor Weight Room,38,13:42:04,Saturday
Marino Center - 3rd Floor Select & Cardio,19,13:42:04,Saturday
SquashBusters - 4th Floor,16,14:10:06,Saturday
Marino Center - Studio A,2,14:10:06,Saturday
Marino Center - Studio B,1,14:10:06,Saturday
Marino Center - 2nd Floor,11,14:10:06,Saturday
Marino Center - Gymnasium,6,14:10:06,Saturday
Marino Center - 3rd Floor Weight Room,38,14:10:06,Saturday
Marino Center - 3rd Floor Select & Cardio,19,14:10:06,Saturday
SquashBusters - 4th Floor,16,14:35:13,Saturday
Marino Center - Studio A,3,14:35:13,Saturday
Marino Center - Studio B,0,14:35:13,Saturday
Marino Center - 2nd Floor,12,14:35:13,Saturday
Marino Center - Gymnasium,6,14:35:13,Saturday
Marino Center - 3rd Floor Weight Room,38,14:35:13,Saturday
Marino Center - 3rd Floor Select & Cardio,19,14:35:13,Saturday
SquashBusters - 4th Floor,16,15:13:52,Saturday
Marino Center - Studio A,3,15:13:52,Saturday
Marino Center - Studio B,1,15:13:52,Saturday
Marino Center - 2nd Floor,13,15:13:52,Saturday
Marino Center - Gymnasium,13,15:13:52,Saturday
Marino Center - 3rd Floor Weight Room,37,15:13:52,Saturday
Marino Center - 3rd Floor Select & Cardio,21,15:13:52,Saturday
SquashBusters - 4th Floor,16,15:36:44,Saturday
Marino Center - Studio A,3,15:36:44,Saturday
Marino Center - Studio B,1,15:36:44,Saturday
Marino Center - 2nd Floor,13,15:36:44,Saturday
Marino Center - Gymnasium,13,15:36:44,Saturday
Marino Center - 3rd Floor Weight Room,37,15:36:44,Saturday
Marino Center - 3rd Floor Select & Cardio,21,15:36:44,Saturday
SquashBusters - 4th Floor,16,16:11:58,Saturday
Marino Center - Studio A,3,16:11:58,Saturday
Marino Center - Studio B,1,16:11:58,Saturday
Marino Center - 2nd Floor,13,16:11:58,Saturday
Marino Center - Gymnasium,13,16:11:58,Saturday
Marino Center - 3rd Floor Weight Room,37,16:11:58,Saturday
Marino Center - 3rd Floor Select & Cardio,21,16:11:58,Saturday
SquashBusters - 4th Floor,16,16:35:25,Saturday
Marino Center - Studio A,3,16:35:25,Saturday
Marino Center - Studio B,1,16:35:25,Saturday
Marino Center - 2nd Floor,13,16:35:25,Saturday
Marino Center - Gymnasium,13,16:35:25,Saturday
Marino Center - 3rd Floor Weight Room,37,16:35:25,Saturday
Marino Center - 3rd Floor Select & Cardio,21,16:35:25,Saturday
SquashBusters - 4th Floor,16,17:12:39,Saturday
Marino Center - Studio A,3,17:12:39,Saturday
Marino Center - Studio B,1,17:12:39,Saturday
Marino Center - 2nd Floor,13,17:12:39,Saturday
Marino Center - Gymnasium,13,17:12:39,Saturday
Marino Center - 3rd Floor Weight Room,37,17:12:39,Saturday
Marino Center - 3rd Floor Select & Cardio,21,17:12:39,Saturday
SquashBusters - 4th Floor,16,17:38:43,Saturday
Marino Center - Studio A,4,17:38:43,Saturday
Marino Center - Studio B,2,17:38:43,Saturday
Marino Center - 2nd Floor,14,17:38:43,Saturday
Marino Center - Gymnasium,16,17:38:43,Saturday
Marino Center - 3rd Floor Weight Room,37,17:38:43,Saturday
Marino Center - 3rd Floor Select & Cardio,21,17:38:43,Saturday
SquashBusters - 4th Floor,16,18:12:32,Saturday
Marino Center - Studio A,4,18:12:32,Saturday
Marino Center - Studio B,2,18:12:32,Saturday
Marino Center - 2nd Floor,14,18:12:32,Saturday
Marino Center - Gymnasium,16,18:12:32,Saturday
Marino Center - 3rd Floor Weight Room,37,18:12:32,Saturday
Marino Center - 3rd Floor Select & Cardio,21,18:12:32,Saturday
SquashBusters - 4th Floor,16,18:37:03,Saturday
Marino Center - Studio A,4,18:37:03,Saturday
Marino Center - Studio B,2,18:37:03,Saturday
Marino Center - 2nd Floor,14,18:37:03,Saturday
Marino Center - Gymnasium,16,18:37:03,Saturday
Marino Center - 3rd Floor Weight Room,37,18:37:03,Saturday
Marino Center - 3rd Floor Select & Cardio,21,18:37:03,Saturday
SquashBusters - 4th Floor,16,20:17:58,Saturday
Marino Center - Studio A,4,20:17:58,Saturday
Marino Center - Studio B,2,20:17:58,Saturday
Marino Center - 2nd Floor,14,20:17:58,Saturday
Marino Center - Gymnasium,16,20:17:58,Saturday
Marino Center - 3rd Floor Weight Room,37,20:17:58,Saturday
Marino Center - 3rd Floor Select & Cardio,21,20:17:58,Saturday
SquashBusters - 4th Floor,16,22:00:06,Saturday
Marino Center - Studio A,4,22:00:06,Saturday
Marino Center - Studio B,2,22:00:06,Saturday
Marino Center - 2nd Floor,14,22:00:06,Saturday
Marino Center - Gymnasium,16,22:00:06,Saturday
